,date,1. open,2. high,3. low,4. close,5. volume,Date,Time
181,2019-04-23 15:30:00,207.52,207.62,207.0,207.51,2392902.0,2019-04-23,15:30:00
182,2019-04-24 09:30:00,207.36,208.4,207.14,208.0617,5752446.0,2019-04-24,09:30:00
183,2019-04-24 10:30:00,208.07,208.48,207.67,207.96,2012773.0,2019-04-24,10:30:00
184,2019-04-24 11:30:00,207.97,208.3,207.51,207.69,1629657.0,2019-04-24,11:30:00
185,2019-04-24 12:30:00,207.68,207.7,207.1603,207.68,1355217.0,2019-04-24,12:30:00
186,2019-04-24 13:30:00,207.68,207.78,207.38,207.6344,1115635.0,2019-04-24,13:30:00
187,2019-04-24 14:30:00,207.63,207.98,207.12,207.31,1478345.0,2019-04-24,14:30:00
188,2019-04-24 15:30:00,207.31,207.94,207.09,207.18,1784482.0,2019-04-24,15:30:00
189,2019-04-25 09:30:00,206.83,207.76,205.1202,205.68,5781239.0,2019-04-25,09:30:00
190,2019-04-25 10:30:00,205.67,206.6,205.32,206.34,2242053.0,2019-04-25,10:30:00
191,2019-04-25 11:30:00,206.37,206.77,205.71,206.22,1634354.0,2019-04-25,11:30:00
192,2019-04-25 12:30:00,206.22,206.4097,205.5,205.94,1298449.0,2019-04-25,12:30:00
193,2019-04-25 13:30:00,205.9407,206.44,205.845,206.16,1134317.0,2019-04-25,13:30:00
194,2019-04-25 14:30:00,206.16,206.26,205.51,205.595,1461350.0,2019-04-25,14:30:00
195,2019-04-25 15:30:00,205.62,205.67,205.13,205.24,2601653.0,2019-04-25,15:30:00
196,2019-04-26 09:30:00,204.9,205.0,202.12,204.19,5390832.0,2019-04-26,09:30:00
197,2019-04-26 10:30:00,204.19,204.55,203.58,204.44,2312844.0,2019-04-26,10:30:00
198,2019-04-26 11:30:00,204.43,204.77,204.33,204.67,1528304.0,2019-04-26,11:30:00
199,2019-04-26 12:30:00,204.6705,204.81,203.875,204.05,1181854.0,2019-04-26,12:30:00
200,2019-04-26 13:30:00,204.045,204.06,203.51,203.7066,1538936.0,2019-04-26,13:30:00
201,2019-04-26 14:30:00,203.71,204.39,203.35,204.28,2075748.0,2019-04-26,14:30:00
202,2019-04-26 15:30:00,204.28,204.65,203.74,204.29,2585474.0,2019-04-26,15:30:00
203,2019-04-29 09:30:00,204.4,205.97,203.86,205.2984,5637213.0,2019-04-29,09:30:00
204,2019-04-29 10:30:00,205.31,205.68,204.81,204.9741,2935378.0,2019-04-29,10:30:00
205,2019-04-29 11:30:00,204.9716,205.07,204.765,204.995,3401956.0,2019-04-29,11:30:00
206,2019-04-29 12:30:00,204.99,205.2,204.91,205.12,2392193.0,2019-04-29,12:30:00
207,2019-04-29 13:30:00,205.12,205.1205,204.78,204.9979,1460295.0,2019-04-29,13:30:00
208,2019-04-29 14:30:00,205.0,205.2,204.8831,204.96,1586336.0,2019-04-29,14:30:00
209,2019-04-29 15:30:00,204.96,205.24,204.44,204.61,2332473.0,2019-04-29,15:30:00
210,2019-04-30 09:30:00,203.0,203.4,200.33,200.9029,9386282.0,2019-04-30,09:30:00
211,2019-04-30 10:30:00,200.91,201.32,199.11,199.68,6823442.0,2019-04-30,10:30:00
212,2019-04-30 11:30:00,199.68,200.87,199.68,200.8261,3665073.0,2019-04-30,11:30:00
213,2019-04-30 12:30:00,200.82,200.96,200.17,200.5765,3688618.0,2019-04-30,12:30:00
214,2019-04-30 13:30:00,200.5794,201.5,200.4639,201.355,3505146.0,2019-04-30,13:30:00
215,2019-04-30 14:30:00,201.36,201.485,200.76,200.76,4072995.0,2019-04-30,14:30:00
216,2019-04-30 15:30:00,200.765,201.0,200.5,200.57,5050361.0,2019-04-30,15:30:00
217,2019-05-01 09:30:00,209.88,212.89,209.23,212.65,0.0,2019-05-01,09:30:00
218,2019-05-01 10:30:00,212.64,214.92,212.4,214.42,8832846.0,2019-05-01,10:30:00
